id,name,naissance,mort,genre,e.date,,,,,,,img-path,prix,prix-id,fond,WP,WD
283,Petr Kapica,1894-06-26,1984-08-04,Homme,,,,,,,,file_uploads/ulf_536_Kapitsa.jpg,Prix Nobel,9569,,https://fr.wikipedia.org/wiki/Piotr_Kapitsa,Q172844
284,Karine Chemla,1957-08-02,1997-05-28,Femme,2005-12-28,,,,,,,file_uploads/ulf_480_Karine_Chemla.jpg,,,7.6.7,https://fr.wikipedia.org/wiki/Karine_Chemla,Q1729607
285,Louis Karpinski,1878-05-08,1956-01-25,Homme,1928-02-12,,,,,,,,,,,,Q3709967
286,Alfred Kastler,1902-03-05,1984-07-01,Homme,,,,,,,,file_uploads/ulf_537_Kastler.jpg,Prix Nobel,9569,,https://fr.wikipedia.org/wiki/Alfred_Kastler,Q71023
287,Wolfgang Kaunzner,1928-07-26,2017-10-03,Homme,,,,,,,,,,,,https://fr.wikipedia.org/wiki/Frederic_George_Kenyon,Q15444384
288,Antonio Ballesteros,1880-03-19,1949-07-15,Homme,,,,,,,,,,,,,Q5697802
289,Bonifatij Kedrov,1903-11-27,1985-10-09,Homme,1966-10-15,,,,,,,,,,,https://en.wikipedia.org/wiki/Bonifaty_Kedrov,Q365628
290,Edward Kennedy,1912-03-01,2009-04-05,Homme,1971-01-11,,,,,,,,,,,https://fr.wikipedia.org/wiki/Edward_Stewart_Kennedy,Q5345454
291,Frederick Kenyon,1869-01-15,1952-08-23,Homme,,,,,,,,file_uploads/ulf_593_Frederic_George_Kenyon.jpg,,,,https://fr.wikipedia.org/wiki/Frederic_George_Kenyon,Q683055
292,Pearl Kibre,1900-02-09,1985-07-15,Femme,,,,,,,,file_uploads/ulf_517_Pearl_Kibre.jpg,,,,https://en.wikipedia.org/wiki/Pearl_Kibre,Q26998136
293,Vladimir Kirsanov,1935-12-12,2007-05-13,Homme,,,,,,,,,,,,,
294,Arnold Carl Klebs,1870-03-17,1943-06-03,Homme,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/63/Arnold_Klebs.jpg,,,,,Q119694
295,Martin Klein,1924-06-25,2009-03-28,Homme,1986-11-30,,,,,,,,,,,https://fr.wikipedia.org/wiki/Martin_J._Klein,Q964599
297,Friedrich Klemm,1904-01-22,1983-03-16,Homme,1971-01-11,,,,,,,,,,,https://fr.wikipedia.org/wiki/Friedrich_Klemm,Q1460417
298,Raymond Klibansky,1905-10-15,2005-05-08,Homme,,,,,,,,,,,,https://fr.wikipedia.org/wiki/Raymond_Klibansky,Q213996
299,Agustín Barreiro,1865-11-22,1937-03-25,Homme,,,,,,,,file_uploads/ulf_222_Agustin.Barreiro.1865-1937.C058.preview.jpg,,,,https://ca.wikipedia.org/wiki/Agust%C3%ADn_Jes%C3%BAs_Barreiro_Mart%C3%ADnez,Q25421945
300,David Knight,1936-11-30,2018-01-19,Homme,,,,,,,,,,,,,Q1175389
301,Akira Kobori,1904-10-09,1992-08-12,Homme,1961-02-20,,,,,,,,,,,https://ja.wikipedia.org/wiki/%E5%B0%8F%E5%A0%80%E6%86%B2,Q114663517
302,Richard Koch,1882-03-09,1949-01-01,Homme,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/9a/Richard-Koch-1906.jpg,,,,https://de.wikipedia.org/wiki/Richard_Koch_(Mediziner),Q2149965
303,Eduard Kolchinskiy,1944-09-16,2020-01-24,Homme,2019-05-25,,,,,,,file_uploads/ulf_528_Kolchinskiy.jpg,,,,,Q75091241
304,Andrej Kolmogorov,1903-04-25,1987-10-20,Homme,,,,,,,,file_uploads/ulf_569_Kolmogorov.jpg,,,,https://fr.wikipedia.org/wiki/Andre%C3%AF_Kolmogorov,Q153224
305,Ivan Ivanovich Konfederatov,1902-07-01,1966-10-15,Homme,,,,,,,,,,,12.3.9,,
